ALS;FLS;Aalst;Alost;Aalst;flemish;
ALT;FLT;Aalter;Aalter;Aalter;flemish;
AKE;;Aalst Kerrebroek;Aalst Kerrebroek;Aalst Kerrebroek;flemish; 
ASH;FRST;Aarschot;Aarschot;Aarschot;flemish; 
ARS;FAR;Aarsele;Aarsele;Aarsele;flemish; 
ACR;FXA;Acren;Acren;Acren;french; 
AIS;FAO;Aiseau;Aiseau;Aiseau;french; 
ALK;FAK;Alken;Alken;Alken;flemish; 
AMA;NM;Amay;Amay;Amay;french; 
AMP;NA;Ampsin;Ampsin;Ampsin;french; 
AEE;NDN;Andenne;Andenne;Andenne;french; 
ANG;MGR;Angleur;Angleur;Angleur;french; 
ANS;ANS;Ans;Ans;Ans;french; 
ANM;MNS;Anseremme;Anseremme;Anseremme;french; 
ATG;FNT;Antoing;Antoing;Antoing;french; 
ANB;FCV;Antwerpen Berchem;Anvers Berchem;Antwerp Berchem;flemish; 
ANC;FN;Antwerpen Centraal;Anvers Central;Antwerp Central;flemish;
AND;FNDM;Antwerpen Dam;Anvers Dam;Anwerp Dam;flemish;
ANN;AND;Antwerpen Noorderdokken;Anvers Noorderdokken;Antwerp Noorderdokken;flemish;
ANE;GNS;Antwerpen Oost;Anvers Est;Antwerp East;flemish;
ANZ;FNZD;Antwerpen Zuid;Anvers Sud;Antwerp South;flemish;
AZM;FAN;Anzegem;Anzegem;Anzegem;flemish;
APP;MAP;Appelterre;Appelterre;Appelterre;flemish;
ARC;;Eerken;Archennes;Archennes;french;
ARL;LL;Aarlen;Arlon;Arlon;french; 
ASE;LAS;Asse;Asse;Asse;flemish; 
ASS;MAS;Assesse;Assesse;Assesse;flemish; 
ATH;ATH;Aat;Ath;Aat;french; 
AUV;FVL;Auvelais;Auvelais;Auvelais;french; 
AYE;AYE;Aye;Aye;Aye;french; 
AYW;MWL;Aywaille;Aywaille;Aywaille;french; 
BAA;FRA;Baasrode Zuid;Baasrode Sud;Baasrode South;flemish; 
BAD;FGED;Balegem Dorp;Balegem Village;Balegem Dorp;flemish; 
BAZ;FGE;Balegem Zuid;Balegem Sud;Balegem South;flemish; 
BAL;LNE;Balen;Balen;Balen;flemish; 
BBR;;Bambrugge;Bambrugge;Bambrugge;flemish; 
BAR;LBV;Barvaux;Barvaux;Barvaux;french; 
BVA;NBE;Bas Oha;Bas Oha;Bas Oha;french; 
BWA;GWV;Basse Wavre;Basse Wavre;Basse Wavre;french; 
BSN;;Bastenaken Noord;Bastogne Nord;Bastogne North;flemish; 
BSZ;;Bastenaken Zuid;Bastogne Sud;Bastogne South;flemish; 
BEA;MBG;Beauraing;Beauraing;Beauraing;french; 
BRN;LBM;Beernem;Beernem;Beernem;flemish; 
BRS;;Beersel;Beersel;Beersel;flemish; 
BGN;GBD;Begijnendijk;Begijnendijk;Begijnendijk;flemish; 
BEI;;Beignee;Beignee;Beignee;french; 
BLL;FEB;Bellem;Bellem;Bellem;flemish; 
BLS;LLB;Belsele;Belsele;Belsele;flemish; 
SAG;;Sint Agatha Berchem;Berchem Sainte Agathe;Sint Agatha Berchem;flemish; 
BRG;;Beringen;Beringen;Beringen;flemish; 
BRL;GBL;Berlaar;Berlaar;Berlaar;flemish; 
BTX;MBX;Bertrix;Bertrix;Bertrix;french; 
