Aalst, AAL, nl
Alost, AAL, fr
Aalst Kerrebroek, , 
Aalter, , 
Aarschot, , 
Aarsele, , 
Acren, , 
Aiseau, , 
Alken, , 
Amay, , 
Ampsin, , 
Andenne, , 
Angleur, , 
Ans, , 
Anseremme, , 
Antoing, , 
Antwerpen Berchem, ANB, nl
Anvers Berchem, ANB, fr
Antwerp Berchem, ANB, en
Antwerpen Centraal, ANC, nl
Anvers Central, ANC, fr
Antwerp Central, ANC, en
Antwerpen Dam, AND, nl
Anvers Dam, AND, fr
Anwerp Dam, AND, en
Antwerp Noorderdokken, , 
Antwerpen Noorderdokken, , 
Anvers Noorderdokken, , 
Antwerpen Oost, , 
Antwerp East, , 
Anvers Est, , 
Antwerp South, , 
Antwerpen Zuid, , 
Anvers Sud, , 
Anzegem, , 
Appelterre, , 
Archennes, , 
Eerken, , 
Aarlen, , 
Arlon, , 
Asse, , 
Assesse, , 
Aat, , 
Ath, , 
Auvelais, , 
Aye, , 
Aywaille, , 
Baasrode South, , 
Baasrode Sud, , 
Baasrode Zuid, , 
Balegem Dorp, , 
Balegem Village, , 
Balegem Sud, , 
Balegem Zuid, , 
Balegem South, , 
Balen, , 
Bambrugge, , 
Barvaux, , 
Bas Oha, , 
Basse Wavre, , 
Bastenaken Noord, , 
Bastogne Nord, , 
Bastogne North, , 
Bastenaken Zuid, , 
Bastogne Sud, , 
Bastogne South, , 
Beauraing, , 
Beernem, , 
Beersel, , 
Begijnendijk, , 
Beignee, , 
Bellem, , 
Belsele, , 
Berchem Sainte Agathe, , 
Sint Agatha Berchem, , 
Beringen, , 
Berlaar, , 
Bertrix, , 
Berzee, , 
Beuzet, , 
Beveren, , 
Bierges Walibi, , 
Bierset Awans, , 
Bilzen, , 
Binche, , 
Bissegem, , 
Blankenberge, , 
Blanmont, , 
Blaton, , 
Bleret, , 
Bockstael, , 
Boechout, , 
Boitsfort, , 
Bosvoorde, , 
Bokrijk, , 
Bomal, , 
Booischot, , 
Boom, , 
Boondaal, , 
Boortmeerbeek, , 
Bordet, , 
Borgworm, , 
Waremme, , 
Bornem, , 
Boussu, , 
Bouwel, , 
Bracquegnies, , 
Braine Le Comte, , 
's Gravenbrakel, , 
Bressoux, , 
Brugelette, , 
Bruges, , 
Brugge, , 
Brussel Congres, , 
